run_ts_utc,experiment_name,model,selector_status,edge_threshold,min_probability,min_odds,max_odds,eligible_candidates,val_fold_min_bets,val_fold_min_roi,val_fold_avg_roi,bets,coverage,wins,hit_rate,avg_prob,avg_edge,avg_odds,avg_clv_pct,profit,roi,test_bets,test_coverage,test_wins,test_hit_rate,test_avg_prob,test_avg_edge,test_avg_odds,test_avg_clv_pct,test_profit,test_roi
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,base,validation_locked_positive_fold_roi,0.125,0.5,2.0,7.0,4,30,2.4976,4.2413,70,3.9954,32,45.7143,0.58433,0.402018,2.42,6.4806,0.130661,4.0269,43,2.7336,16,37.2093,0.562815,0.300792,2.3123,4.5998,-0.28067,-14.8045
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,market,fallback_not_robust_validation,0.05,0.0,1.01,10.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,meta,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,170,22,34.0013,67.7459,50,2.8539,31,62.0,0.444433,0.218939,2.7864,-6.4041,1.090721,73.9608,71,4.5137,28,39.4366,0.449395,0.191809,2.7056,0.5962,0.148917,7.3476
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,logreg,validation_locked_positive_fold_roi,0.1,0.0,1.2,5.0,57,28,4.7251,23.5425,58,3.3105,17,29.3103,0.263654,0.115026,4.2772,8.5611,0.126361,24.4631,111,7.0566,28,25.2252,0.279623,0.116432,4.163,16.0154,0.007355,0.6509
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,mlp,validation_locked_positive_fold_roi,0.125,0.35,1.2,3.5,145,65,33.9039,34.9588,139,7.9338,72,51.7986,0.442395,0.184351,2.7899,-1.3547,1.332215,34.8614,141,8.9638,50,35.461,0.45997,0.17965,2.6873,2.1325,-0.225692,-5.5384
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,ensemble,fallback_not_robust_validation,0.05,0.0,1.01,10.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,base,validation_locked_positive_fold_roi,0.125,0.5,2.0,7.0,4,30,2.4976,4.2413,70,3.9954,32,45.7143,0.58433,0.402018,2.42,6.4806,0.130661,4.0269,43,2.7336,16,37.2093,0.562815,0.300792,2.3123,4.5998,-0.28067,-14.8045
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,market,fallback_not_robust_validation,0.05,0.0,1.01,10.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,meta,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,170,22,34.0013,67.7459,50,2.8539,31,62.0,0.444433,0.218939,2.7864,-6.4041,1.090721,73.9608,71,4.5137,28,39.4366,0.449395,0.191809,2.7056,0.5962,0.148917,7.3476
2026-05-11T13:47:08.629859+00:00,final_market_xg_comparison,logreg,validation_locked_positive_fold_roi,0.1,0.0,1.2,5.0,57,28,4.7251,23.5425,58,3.3105,17,29.3103,0.263654,0.115026,4.2772,8.5611,0.126361,24.4631,111,7.0566,28,25.2252,0.279623,0.116432,4.163,16.0154,0.007355,0.6509
