Date,HomeTeam,AwayTeam,FTHG,FTAG,PSCH,PSCD,PSCA
13/05/2026,Brest,Strasbourg,,,,,
13/05/2026,Lens,Paris SG,,,,,
02/05/2026,Nantes,Marseille,,,,,
02/05/2026,Paris SG,Lorient,,,,,
02/05/2026,Metz,Monaco,,,,,
02/05/2026,Nice,Lens,,,,,
03/05/2026,Lille,Le Havre,,,,,
03/05/2026,Auxerre,Angers,,,,,
03/05/2026,Paris FC,Brest,,,,,
03/05/2026,Strasbourg,Toulouse,,,,,
03/05/2026,Lyon,Rennes,,,,,
08/05/2026,Lens,Nantes,,,,,
10/05/2026,Angers,Strasbourg,,,,,
10/05/2026,Auxerre,Nice,,,,,
10/05/2026,Le Havre,Marseille,,,,,
10/05/2026,Metz,Lorient,,,,,
10/05/2026,Monaco,Lille,,,,,
10/05/2026,Paris SG,Brest,,,,,
10/05/2026,Rennes,Paris FC,,,,,
10/05/2026,Toulouse,Lyon,,,,,
17/05/2026,Brest,Angers,,,,,
17/05/2026,Lille,Auxerre,,,,,
17/05/2026,Lorient,Le Havre,,,,,
17/05/2026,Lyon,Lens,,,,,
17/05/2026,Marseille,Rennes,,,,,
17/05/2026,Nantes,Toulouse,,,,,
17/05/2026,Nice,Metz,,,,,
17/05/2026,Paris FC,Paris SG,,,,,
17/05/2026,Strasbourg,Monaco,,,,,
