Date,HomeTeam,AwayTeam,FTHG,FTAG,PSCH,PSCD,PSCA
13/04/2026,Fiorentina,Lazio,,,,,
17/04/2026,Sassuolo,Como,,,,,
17/04/2026,Inter,Cagliari,,,,,
18/04/2026,Udinese,Parma,,,,,
18/04/2026,Napoli,Lazio,,,,,
18/04/2026,Roma,Atalanta,,,,,
19/04/2026,Cremonese,Torino,,,,,
19/04/2026,Verona,Milan,,,,,
19/04/2026,Pisa,Genoa,,,,,
19/04/2026,Juventus,Bologna,,,,,
20/04/2026,Lecce,Fiorentina,,,,,
24/04/2026,Napoli,Cremonese,,,,,
25/04/2026,Parma,Pisa,,,,,
25/04/2026,Bologna,Roma,,,,,
25/04/2026,Verona,Lecce,,,,,
26/04/2026,Fiorentina,Sassuolo,,,,,
26/04/2026,Genoa,Como,,,,,
26/04/2026,Torino,Inter,,,,,
26/04/2026,Milan,Juventus,,,,,
27/04/2026,Cagliari,Atalanta,,,,,
27/04/2026,Lazio,Udinese,,,,,
03/05/2026,Atalanta,Genoa,,,,,
03/05/2026,Bologna,Cagliari,,,,,
03/05/2026,Como,Napoli,,,,,
03/05/2026,Cremonese,Lazio,,,,,
03/05/2026,Inter,Parma,,,,,
03/05/2026,Juventus,Verona,,,,,
03/05/2026,Pisa,Lecce,,,,,
03/05/2026,Roma,Fiorentina,,,,,
03/05/2026,Sassuolo,Milan,,,,,
03/05/2026,Udinese,Torino,,,,,
10/05/2026,Verona,Como,,,,,
10/05/2026,Cagliari,Udinese,,,,,
10/05/2026,Cremonese,Pisa,,,,,
10/05/2026,Fiorentina,Genoa,,,,,
10/05/2026,Lazio,Inter,,,,,
10/05/2026,Lecce,Juventus,,,,,
10/05/2026,Milan,Atalanta,,,,,
10/05/2026,Napoli,Bologna,,,,,
10/05/2026,Parma,Roma,,,,,
10/05/2026,Torino,Sassuolo,,,,,
17/05/2026,Atalanta,Bologna,,,,,
17/05/2026,Cagliari,Torino,,,,,
17/05/2026,Como,Parma,,,,,
17/05/2026,Genoa,Milan,,,,,
17/05/2026,Inter,Verona,,,,,
17/05/2026,Juventus,Fiorentina,,,,,
17/05/2026,Pisa,Napoli,,,,,
17/05/2026,Roma,Lazio,,,,,
17/05/2026,Sassuolo,Lecce,,,,,
17/05/2026,Udinese,Cremonese,,,,,
24/05/2026,Bologna,Inter,,,,,
24/05/2026,Cremonese,Como,,,,,
24/05/2026,Fiorentina,Atalanta,,,,,
24/05/2026,Lazio,Pisa,,,,,
24/05/2026,Lecce,Genoa,,,,,
24/05/2026,Milan,Cagliari,,,,,
24/05/2026,Napoli,Udinese,,,,,
24/05/2026,Parma,Sassuolo,,,,,
24/05/2026,Torino,Juventus,,,,,
24/05/2026,Verona,Roma,,,,,
