Date,HomeTeam,AwayTeam,FTHG,FTAG,PSCH,PSCD,PSCA
13/04/2026,Levante,Getafe,,,,,
21/04/2026,Ath Bilbao,Osasuna,,,,,
21/04/2026,Real Madrid,Alaves,,,,,
21/04/2026,Girona,Betis,,,,,
22/04/2026,Mallorca,Valencia,,,,,
22/04/2026,Elche,Ath Madrid,,,,,
22/04/2026,Sociedad,Getafe,,,,,
22/04/2026,Barcelona,Celta,,,,,
23/04/2026,Levante,Sevilla,,,,,
23/04/2026,Vallecano,Espanol,,,,,
23/04/2026,Oviedo,Villarreal,,,,,
24/04/2026,Betis,Real Madrid,,,,,
25/04/2026,Alaves,Mallorca,,,,,
25/04/2026,Getafe,Barcelona,,,,,
25/04/2026,Valencia,Girona,,,,,
25/04/2026,Ath Madrid,Ath Bilbao,,,,,
26/04/2026,Vallecano,Sociedad,,,,,
26/04/2026,Oviedo,Elche,,,,,
26/04/2026,Osasuna,Sevilla,,,,,
26/04/2026,Villarreal,Celta,,,,,
27/04/2026,Espanol,Levante,,,,,
03/05/2026,Alaves,Ath Bilbao,,,,,
03/05/2026,Betis,Oviedo,,,,,
03/05/2026,Celta,Elche,,,,,
03/05/2026,Espanol,Real Madrid,,,,,
03/05/2026,Getafe,Vallecano,,,,,
03/05/2026,Girona,Mallorca,,,,,
03/05/2026,Valencia,Ath Madrid,,,,,
03/05/2026,Osasuna,Barcelona,,,,,
03/05/2026,Villarreal,Levante,,,,,
03/05/2026,Sevilla,Sociedad,,,,,
10/05/2026,Ath Bilbao,Valencia,,,,,
10/05/2026,Ath Madrid,Celta,,,,,
10/05/2026,Barcelona,Real Madrid,,,,,
10/05/2026,Levante,Osasuna,,,,,
10/05/2026,Mallorca,Villarreal,,,,,
10/05/2026,Elche,Alaves,,,,,
10/05/2026,Sociedad,Betis,,,,,
10/05/2026,Sevilla,Espanol,,,,,
10/05/2026,Oviedo,Getafe,,,,,
10/05/2026,Vallecano,Girona,,,,,
13/05/2026,Alaves,Barcelona,,,,,
13/05/2026,Betis,Elche,,,,,
13/05/2026,Celta,Levante,,,,,
13/05/2026,Getafe,Mallorca,,,,,
13/05/2026,Girona,Sociedad,,,,,
13/05/2026,Espanol,Ath Bilbao,,,,,
13/05/2026,Osasuna,Ath Madrid,,,,,
13/05/2026,Valencia,Vallecano,,,,,
13/05/2026,Villarreal,Sevilla,,,,,
13/05/2026,Real Madrid,Oviedo,,,,,
17/05/2026,Ath Bilbao,Celta,,,,,
17/05/2026,Ath Madrid,Girona,,,,,
17/05/2026,Barcelona,Betis,,,,,
17/05/2026,Elche,Getafe,,,,,
17/05/2026,Levante,Mallorca,,,,,
17/05/2026,Vallecano,Villarreal,,,,,
17/05/2026,Sociedad,Valencia,,,,,
17/05/2026,Oviedo,Alaves,,,,,
17/05/2026,Osasuna,Espanol,,,,,
17/05/2026,Sevilla,Real Madrid,,,,,
24/05/2026,Alaves,Vallecano,,,,,
24/05/2026,Betis,Levante,,,,,
24/05/2026,Celta,Sevilla,,,,,
24/05/2026,Espanol,Sociedad,,,,,
24/05/2026,Getafe,Osasuna,,,,,
24/05/2026,Mallorca,Oviedo,,,,,
24/05/2026,Real Madrid,Ath Bilbao,,,,,
24/05/2026,Villarreal,Ath Madrid,,,,,
24/05/2026,Valencia,Barcelona,,,,,
24/05/2026,Girona,Elche,,,,,
